country,Age dependency ratio (% of working-age population),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Maldives,36.5699007876699,6600000000.0,3.97279584640151,12667.4356695795,11030.0,421000000.0,3497000000.0,41.971
Nepal,53.1745608771713,40908073366.8455,1.95254463264347,1324.03198433372,1370.0,1015000000.0,12476000000.0,21.903
Pakistan,68.0412783185132,338368455317.876,-0.00485526939898762,1407.02135059495,1500.0,28488000000.0,50500000000.0,38.04
Sri Lanka,52.2795284552014,84356860421.13,-2.29804511164436,3827.96480560557,3540.0,11911000000.0,16811000000.0,19.211
Brunei Darussalam,39.4935343166721,15128292953.5098,1.40706822925519,33430.9184783787,34970.0,9090000000.0,6317000000.0,79.149
Myanmar,45.8387169783289,64815031669.0952,1.00223834289773,1187.56706423461,1210.0,13594000000.0,15566000000.0,32.112
Cambodia,53.0797396036599,31772759998.8571,5.39999999995442,1875.07148192948,1810.0,23470000000.0,24386000000.0,25.57
Indonesia,46.8572874845266,1371171152331.16,5.04810577067288,4940.54980501156,4870.0,258857000000.0,221886000000.0,58.572
Lao PDR,53.469755289673,15843155731.2552,3.74568140158232,2075.40141406441,2120.0,8371000000.0,7711000000.0,38.247
Malaysia,43.2754246309194,399648828546.504,3.68028218563347,11648.6741574144,11970.0,312846000000.0,265755000000.0,78.716
Philippines,55.3063345201947,437146372729.942,5.54585117087767,3725.55120488081,4230.0,72918000000.0,132979000000.0,48.287
Singapore,38.542153922512,501427500080.059,1.07503175095101,84734.2559206054,70590.0,476252000000.0,423448000000.0,100.0
Thailand,45.3135809149274,514944993833.578,1.88281746066315,7171.80809318978,7180.0,284562000000.0,289754000000.0,53.608
Timor-Leste,64.9305231462232,2243142908.46161,-14.358356988559,1648.64729020342,2140.0,295000000.0,894000000.0,32.456
Viet Nam,46.5060355022009,429716969049.593,5.04643073618749,4346.76849237821,4180.0,353782000000.0,325776000000.0,39.48
China,45.0422201163141,17794781986104.5,5.19999999987174,12614.0609948923,13400.0,3380024000000.0,2556802000000.0,64.57
"Hong Kong SAR, China",49.7951673406301,382054574298.529,3.21505497011667,50696.5903184046,55200.0,573871000000.0,653696000000.0,100.0
Japan,71.0469457785963,4212945159781.4,1.92305553064716,33834.3921056453,39030.0,717315000000.0,785615000000.0,92.043
"Korea, Dem. People's Rep.",45.0078646006059,,,,,347000000.0,2726000000.0,63.203
"Korea, Rep.",42.0726083125164,1712792854202.37,1.35673324311098,33121.3712885508,35490.0,632226000000.0,642572000000.0,81.456
"Macao SAR, China",40.1762980982659,47061843715.8565,80.5342159956893,66835.0643341913,,1654000000.0,17541000000.0,100.0
