country,Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Russian Federation,49.9543263609349,9.6,16.7,1843392293734.38,5.61429037578345,12521.5224609375,11720.0,494350000000.0,304013000000.0,74.934
Albania,48.1832229557306,10.24,11.325,17930565118.8176,8.90852781831182,6377.20309553753,6100.0,3559000000.0,7718000000.0,62.969
Andorra,38.1405998741523,,,3324683011.5903,8.28719978108489,42066.4905178822,44350.0,164000000.0,1563000000.0,87.858
Austria,51.1182513489329,9.6,10.3,479295362747.047,4.23786673253257,53517.8904509612,53150.0,202806000000.0,219520000000.0,58.995
Belarus,50.7602118548547,9.283,16.544,69673747131.87,2.43886608142535,7489.71894713888,7040.0,39762000000.0,41387000000.0,79.91
Belgium,56.5072191218183,10.2,9.7,600904461226.347,6.92798360287613,51863.8311565054,51060.0,549253000000.0,527496000000.0,98.117
Bosnia and Herzegovina,49.3931226812491,8.42,15.712,23672712242.2149,7.38996234012757,7237.27446250665,6910.0,8614000000.0,13029000000.0,49.425
Bulgaria,57.2718552166571,8.5,21.7,84041493015.6618,7.6617480742932,12219.3418706779,11050.0,41157000000.0,46210000000.0,76.025
Croatia,56.5152253059607,9.4,16.2,69602166351.4771,13.0411434856638,17943.415126673,17650.0,21878000000.0,34527000000.0,57.878
Czechia,57.3701095458143,10.6,13.3,281791218507.1,3.55302130899085,26822.5141862111,24530.0,226564000000.0,211972000000.0,74.214
Denmark,57.3165045080472,10.8,9.8,405687998852.691,6.84452190183443,69268.6517983134,69780.0,125945000000.0,120307000000.0,88.24
Estonia,58.3298735318645,10.0,14.0,36864792511.6351,7.2493263542448,27698.4793450267,26310.0,21560000000.0,23613000000.0,69.415
Finland,62.127500701497,9.0,10.4,296470417085.267,2.83817960418034,53504.6936483441,53210.0,81996000000.0,86013000000.0,85.596
France,63.1231692837976,11.0,9.8,2959355819170.5,6.43520962104938,43671.3084099631,43810.0,585021000000.0,715082000000.0,81.242
Germany,56.356395723466,9.6,12.3,4278503934689.85,3.16381994194575,51426.7503654421,52050.0,1636742000000.0,1421512000000.0,77.544
Greece,57.6500386845839,8.1,13.6,214667807441.202,8.37994378358083,20310.6824798873,20010.0,47218000000.0,77105000000.0,80.038
Holy See (Vatican City),,,,,,,,,,
Hungary,53.7830829407016,9.7,16.1,182109999477.691,7.06122060972912,18755.1023464312,17740.0,141830000000.0,142917000000.0,72.245
Iceland,50.4989415167822,13.1,6.3,25797870984.2963,5.1487154178929,69252.3112431448,67000.0,5987000000.0,7817000000.0,93.944
Ireland,53.2384846538165,12.0,6.8,513391778882.86,15.1252197949572,102001.798249145,76270.0,190658000000.0,120301000000.0,63.912
Italy,57.0653072954821,6.8,11.9,2154875493744.93,8.3102399077017,36441.0598048734,36420.0,615635000000.0,567421000000.0,71.346
Kosovo,46.8709603144582,11.143,7.22,9413403724.01899,10.7456560819583,5270.55064003061,5130.0,,,
Latvia,59.3405153206993,9.2,18.4,39443126174.4335,6.73173527824665,20930.3982374189,19910.0,20833000000.0,24446000000.0,68.421
Liechtenstein,50.1634804015848,9.6,6.9,7710380085.92257,,197504.548936258,,,,14.471
Lithuania,55.6968822700476,8.3,17.0,66798933785.7702,6.28471003860921,23849.6156993566,21850.0,40706000000.0,44488000000.0,68.249
Luxembourg,44.214425408041,10.5,7.0,85584105993.8746,7.16840198697749,133711.794435985,87610.0,16800000000.0,26170000000.0,91.672
Malta,47.0615261572669,8.5,8.0,18123718946.6006,12.5139471706304,34951.7081679971,30830.0,3064000000.0,7133000000.0,94.81
Moldova,50.1774955539331,12.432,16.36,13691869264.0794,13.9299997889786,5274.60582195352,5270.0,3144000000.0,7177000000.0,42.998
Monaco,95.2213707960834,,,8626081320.50612,21.8673711058481,235132.784182144,,,,100.0
Montenegro,52.5335632467053,11.4,14.8,5861427505.12493,13.0434642521552,9465.96153027794,9370.0,515000000.0,2956000000.0,67.826
Netherlands,54.9284815058731,10.2,9.8,1029678338329.44,6.19185710427116,58727.8705471475,58170.0,840032000000.0,757380000000.0,92.572
North Macedonia,44.5798161267627,10.2,15.5,14000283827.0154,4.51067949038222,7620.80296977508,7050.0,8186000000.0,11386000000.0,58.786
Norway,53.9993314183271,10.4,7.8,503367986030.268,3.90868677689417,93072.8925119571,83370.0,160106000000.0,97764000000.0,83.323
Poland,51.9885236904738,8.8,13.8,681346077608.607,6.93498038387065,18050.2778862996,16910.0,340634000000.0,342075000000.0,60.075
Portugal,56.0159102085335,7.7,12.0,255534839405.899,5.73743721854339,24661.1664874576,23960.0,75229000000.0,98200000000.0,66.849
Romania,53.7288950020094,10.1,17.5,285810244501.933,5.70889455766321,14946.624968678,14190.0,87388000000.0,116203000000.0,54.329
San Marino,49.5789007092199,6.2,9.1,1855382833.1165,8.46307184428878,54982.451714817,47120.0,,,97.62
Serbia,53.8194537441682,9.1,20.0,63101042897.707,7.72594777674031,9232.95770463789,8470.0,25564000000.0,33797000000.0,56.651
Slovak Republic,49.4980912207131,10.4,13.5,118563266602.359,4.77122142450317,21765.722502093,20650.0,103891000000.0,103891000000.0,53.82
Slovenia,55.4952759384504,9.0,11.0,61832201543.8285,8.22849988578498,29331.0647010043,28370.0,57352000000.0,57560000000.0,55.427
Spain,51.5376362505585,7.1,9.5,1445651653604.63,6.40317361484541,30488.8209528797,30090.0,379969000000.0,419700000000.0,81.056
Sweden,60.8190525862832,11.0,8.8,639714956069.468,6.14702464708019,61417.6808766469,60860.0,189524000000.0,187108000000.0,88.238
Switzerland,51.5864026609547,10.3,8.2,813408787222.499,5.39188804141473,93446.4344518943,90810.0,380194000000.0,324069000000.0,73.996
Ukraine,48.4162670024754,7.3,18.5,199765859570.935,3.4456255827111,4827.845703125,4110.0,68073000000.0,72843000000.0,69.757
United Kingdom,57.6722756061544,10.1,9.7,3141506156618.7,8.67490411442573,46869.759058411,45550.0,470508000000.0,694635000000.0,84.152
Bangladesh,47.6670723677358,17.821,5.68,416271647002.435,6.93867912442445,2457.96446570157,2570.0,44223000000.0,80448000000.0,38.946
Bhutan,40.7239950044345,12.482,6.477,2768802803.18141,4.42136738945015,3561.22528660505,3290.0,784000000.0,1220000000.0,43.008
India,48.1263254343601,16.419,9.448,3167270623260.52,9.68959249191211,2250.1790176424,2180.0,395426000000.0,573092000000.0,35.393
Maldives,35.615273385486,14.088,3.02,5254366312.27648,37.6871922873131,10076.317533903,9350.0,285000000.0,2573000000.0,41.102
Nepal,54.8959968537045,20.402,7.776,36924841394.2605,4.838149614115,1229.39420401521,1230.0,1684000000.0,15893000000.0,21.008
