country,Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Pakistan,69.956789212176,27.519,7.168,348516647445.148,6.51388575852702,1506.10829305917,1470.0,28319000000.0,72489000000.0,37.44
Sri Lanka,52.3723695719063,14.019,7.36,88609332762.4729,4.20748597719036,3999.33800155592,4020.0,12499000000.0,20637000000.0,18.86
Brunei Darussalam,39.1925467779691,13.8,5.211,14006496617.4458,-1.59076260099606,31448.9127482937,30320.0,11058000000.0,8575000000.0,78.554
Myanmar,46.0068143101436,17.103,9.769,66345291160.1683,-12.0163724829177,1233.22776997352,1230.0,15154000000.0,14327000000.0,31.448
Cambodia,53.4484174827168,19.334,6.838,26961061151.7337,3.0263893638939,1625.23502147979,1580.0,19307000000.0,28583000000.0,24.668
Indonesia,47.6148036289535,16.425,10.065,1186509691086.73,3.70288562827751,4334.23145407913,4170.0,231506000000.0,196190000000.0,57.29
Lao PDR,54.7362689026876,21.973,6.613,18827148530.9347,2.52835100486102,2535.62343439717,2510.0,7695000000.0,6275000000.0,36.939
Malaysia,43.2912642533176,15.24,6.034,373832428055.449,3.29764100831838,11134.6229528189,10740.0,299425000000.0,238240000000.0,77.696
Philippines,56.1595930537703,21.813,7.311,394087359848.11,5.71473313426225,3460.53938172807,3550.0,74618000000.0,124367000000.0,47.684
Singapore,35.3530018666501,8.6,5.8,434111559282.849,9.69076687082064,79601.4129622433,64970.0,457357000000.0,406226000000.0,100.0
Thailand,43.4966323903385,8.999,7.922,506256494297.34,1.56818176501186,7070.51250729112,7100.0,272006000000.0,266882000000.0,52.163
Timor-Leste,68.2919464754603,24.944,7.233,3621958000.0,5.31553743115596,2741.95081994516,2390.0,616000000.0,873000000.0,31.695
Viet Nam,45.5567728591029,15.008,7.317,366474752771.009,2.55372852648131,3759.94832901576,3590.0,335978000000.0,332455000000.0,38.052
China,44.545904633681,7.52,7.18,17820459508852.2,8.44846941687277,12617.5051041181,11950.0,3316022000000.0,2679412000000.0,62.512
"Hong Kong SAR, China",46.578023716728,5.0,6.9,368954169748.818,6.454396778722,49770.5642374739,54380.0,669903000000.0,712358000000.0,100.0
Japan,71.1187680312857,6.6,11.7,5034620784584.98,2.55932023865617,40058.5373276179,43670.0,756032000000.0,768976000000.0,91.867
"Korea, Dem. People's Rep.",43.4835418746666,13.24,9.313,,,,,80000000.0,631000000.0,62.642
"Korea, Rep.",39.9445385420882,5.1,6.2,1818432106880.04,4.30473481906969,35125.5224984723,35180.0,644400000000.0,615093000000.0,81.414
"Macao SAR, China",36.8645461449681,10.114,4.111,30969334705.0515,23.5355669383932,45104.8921800265,46530.0,1620000000.0,19219000000.0,100.0
Mongolia,58.3528528073986,21.413,6.131,15286441737.6686,1.63676957736662,4566.14013029182,3730.0,9241000000.0,6846000000.0,68.785
Taiwan,,,,,,,,,,
Cyprus,43.806671667547,10.313,7.257,29482912835.3642,9.91131179221449,32745.83984375,29490.0,3905000000.0,10397000000.0,66.856
Bahrain,31.3471460732251,11.926,2.479,39288670212.766,2.59040783827855,26850.0033915702,24710.0,22369000000.0,14188000000.0,89.622
"Iran, Islamic Rep.",45.319645457702,13.699,6.437,359096907772.273,4.71977773157164,4084.20030478647,3510.0,71646000000.0,49086000000.0,76.345
Iraq,71.0300293029273,27.367,4.753,209691945713.103,1.50218070952037,4816.78483395313,4690.0,91514000000.0,50707000000.0,71.119
Israel,66.9448665442231,19.7,5.4,488526545878.891,8.61199034846989,52129.5159612108,49350.0,60159000000.0,92155000000.0,92.674
Jordan,57.0664613451191,21.95,3.868,46296100140.8451,3.65564191030398,4152.75795426388,4210.0,9358000000.0,21542000000.0,91.626
Kuwait,34.3685119548382,10.41,2.906,141777271268.694,1.69762482979576,33358.4631538575,35990.0,63128000000.0,31889000000.0,100.0
Lebanon,59.3383929151419,14.948,8.271,23131941556.7843,-7.00123862514116,4136.14657516013,4970.0,4590000000.0,13857000000.0,89.093
Oman,41.9658971890855,18.419,3.796,88191977373.212,3.09227668737446,19509.4664633867,17960.0,44591000000.0,30995000000.0,87.044
Qatar,20.7213906889227,9.816,1.311,179732009560.44,1.62684671918775,66858.7417247523,62400.0,87203000000.0,27985000000.0,99.278
Saudi Arabia,40.4109570582717,17.473,2.864,874156000000.0,5.07511034987979,24315.6153272971,24140.0,276179000000.0,152849000000.0,84.508
Syrian Arab Republic,60.376224836919,20.111,5.117,8980060818.72145,1.29973808951831,421.117345181756,560.0,3914000000.0,6136000000.0,56.124
Turkiye,46.7550772553648,14.678,6.398,819865253669.661,11.4393847446421,9743.21313092428,10010.0,225214000000.0,271426000000.0,76.569
United Arab Emirates,20.3390385875641,10.307,1.874,415178792756.978,4.35475529659919,44332.3400499381,43590.0,425160000000.0,347529000000.0,87.299
"Yemen, Rep.",74.0981775129238,30.544,6.845,,,583.849041342565,,662000000.0,5054000000.0,38.546
Afghanistan,84.5992570171333,35.842,7.344,14266499429.8746,-20.7388393676343,355.777826392648,380.0,850000000.0,5308000000.0,26.314
Canada,52.1020183340856,9.7,8.2,2007472181464.15,5.28695689105889,52496.8441693242,48780.0,507992000000.0,506053000000.0,81.653
United States,53.6615949391522,11.0,10.4,23594031000000.0,5.8002061284573,71055.8761938303,71330.0,1754300000000.0,2935314000000.0,82.873
Antigua and Barbuda,40.8716546023303,12.115,6.365,1601366666.66667,8.1917184618173,17178.5437160522,16520.0,19000000.0,596000000.0,24.38
"Bahamas, The",39.2573297464119,11.445,8.986,11368900000.0,15.4031489427848,27871.3723259771,27880.0,543000000.0,3483000000.0,83.365
Barbados,48.9817110644881,10.832,9.007,4945276000.0,-1.18319712008605,17586.3300142247,17140.0,350000000.0,1674000000.0,31.246
Belize,49.6819505040149,17.976,6.353,2424575179.3783,17.8624478393742,6060.96822340845,6040.0,422000000.0,1061000000.0,46.201
Costa Rica,45.0931148604291,11.873,7.192,64960725734.1965,7.9357622471191,12604.0488374654,12380.0,15494000000.0,20728000000.0,81.425
Cuba,45.9209594997161,8.922,14.652,,1.25369342501311,,,1966000000.0,8431000000.0,77.292
Dominica,41.2035412035412,13.326,8.986,555266666.666667,6.8905494167316,7668.15813216962,7780.0,20000000.0,230000000.0,71.395
Dominican Republic,52.7364354194867,18.432,6.678,94243425938.3647,12.2719902347896,8476.74963892506,8100.0,12487000000.0,24282000000.0,83.213
El Salvador,51.3137153124759,16.025,8.661,29043140000.0,11.9047617015957,4599.67878581609,4340.0,6395000000.0,14617000000.0,74.118
Grenada,51.3212221304707,15.961,8.151,1122800000.0,4.68747816934534,9010.5127999358,8320.0,35000000.0,447000000.0,36.694
Guatemala,60.849663592647,21.12,6.504,86053083476.0294,8.0024080363912,5029.47755484093,4930.0,13753000000.0,26607000000.0,52.245
Haiti,58.347866622034,23.498,8.676,20877414952.6375,-1.79823988931486,1823.74222445285,1440.0,1130000000.0,4304000000.0,57.964
Honduras,53.3068374075816,21.071,5.608,28144331506.6149,12.5652843771279,2738.21626989704,2440.0,10247000000.0,15067000000.0,58.982
Jamaica,37.9989458632453,11.712,8.797,14657586159.4316,4.60142450033383,5183.58102957767,5190.0,1481000000.0,5971000000.0,56.652
Nicaragua,54.4074208893392,20.507,4.859,14144067555.6566,10.3154484052751,2064.6646185055,1970.0,6495000000.0,10166000000.0,59.277
Panama,53.7835817598671,17.692,6.067,67406738100.0,15.835765045402,15491.2898013383,14930.0,13161000000.0,20596000000.0,68.775
St. Kitts and Nevis,41.7026343205834,12.125,10.181,858622222.222222,0.479678356753311,18036.0085330047,18660.0,50000000.0,260000000.0,30.906
St. Lucia,37.6889236334652,11.49,10.299,1834796401.63261,12.22991,10213.1154384479,9690.0,59000000.0,602000000.0,18.94
St. Vincent and the Grenadines,48.9953301058224,12.901,13.425,872225925.925926,0.75379707990075,8360.09973858381,8490.0,35000000.0,373000000.0,53.452
Trinidad and Tobago,43.6780862296607,11.687,9.131,24496505940.6673,-1.03742621022469,16056.3020409273,14850.0,8620000000.0,5749000000.0,53.265
Mexico,49.4472844960828,14.857,9.406,1313069763986.6,5.73920833768318,10363.1927221972,9920.0,494949000000.0,522455000000.0,81.016
Argentina,54.2701483886344,13.902,8.955,487902572164.348,10.7180099337095,10650.8604604345,9980.0,77935000000.0,63185000000.0,92.229
Bolivia,56.3285138566426,21.836,9.945,40406111693.1983,6.11137269714146,3345.02300209796,3290.0,11030000000.0,9121000000.0,70.475
Brazil,43.1060097297109,12.883,8.326,1670647399034.67,4.76260437908608,7794.88097933152,7880.0,280815000000.0,234690000000.0,87.317
Chile,45.2181708657836,11.788,7.426,315515014838.539,11.3339570691911,16185.9147709548,14760.0,94775000000.0,92397000000.0,87.817
Colombia,43.5043087313434,14.204,7.735,318524633225.395,10.8011981904878,6182.9559438651,6220.0,40287000000.0,61101000000.0,81.74
Ecuador,50.9199699376681,16.817,6.719,107435101000.0,9.818417748417,6036.4472741675,6080.0,26699000000.0,25690000000.0,64.361
Guyana,53.5564054996984,20.298,9.987,8041362110.31175,20.0075297334354,9994.64570422569,9340.0,4356000000.0,4376000000.0,26.897
Paraguay,54.4386192902476,20.627,7.638,39950899938.7482,4.01673731780312,5959.44179393627,5730.0,10547000000.0,13560000000.0,62.496
Peru,53.0238640820314,17.622,7.988,226354278280.885,13.3552295093079,6713.66205386496,6440.0,59648000000.0,50891000000.0,78.5
Suriname,50.9386480709945,18.154,8.667,3081401725.88833,-2.43538583612838,5026.87949279073,4490.0,2291000000.0,1381000000.0,66.219
Uruguay,53.5985554044791,10.473,12.162,60760798595.5436,5.56189279343275,17733.8551643902,16080.0,9535000000.0,10320000000.0,95.603
"Venezuela, RB",57.5023055764567,15.877,8.124,,,,,3535000000.0,7745000000.0,88.325
Kazakhstan,59.9547457570188,23.5,9.61,197112255360.612,4.29999999729456,10270.8873391027,8790.0,60625000000.0,41171000000.0,57.821
Kyrgyz Republic,63.5318672749155,22.4,5.8,9249133946.26531,5.50700762671923,1365.50830399287,1280.0,2752000000.0,5580000000.0,37.146
Tajikistan,65.9362965443954,26.749,4.548,8937805347.13963,9.39999955037523,916.691967061922,1160.0,2150000000.0,4210000000.0,27.726
Turkmenistan,56.5703645713363,21.592,6.585,50007428571.4286,6.2,7885.29989591824,,9377000000.0,4022000000.0,52.998
Uzbekistan,53.9711999043234,25.9,5.0,69600614987.3509,7.40336813606621,1993.42447787206,1980.0,14092000000.0,23886000000.0,50.427
Armenia,49.6288194974977,12.049,13.007,13878908628.9378,5.80000000065645,4972.78320361917,4850.0,3023000000.0,5357000000.0,63.431
Azerbaijan,44.1785240948905,11.1,7.6,54825411764.7059,5.61645102853028,5408.04535175023,4910.0,22208000000.0,11703000000.0,56.776
Georgia,55.4027298276814,13.412,15.166,18853115588.8106,10.6442336580969,5083.60695484577,4760.0,4243000000.0,10099000000.0,59.872
Australia,53.7101418521078,12.1,6.7,1559033756285.13,2.11183088925151,60697.2454358579,57240.0,344864000000.0,261165000000.0,86.362
Fiji,52.9780429412631,19.345,8.859,4305031649.74189,-4.88103619598493,4656.0513619168,4490.0,815000000.0,2116000000.0,57.74
Guam,60.6562473504225,16.376,7.337,6234000000.0,2.0581832574708,36555.7601416726,,44000000.0,808000000.0,95.015
Kiribati,66.4277596983315,27.207,6.236,289207526.306617,8.70967741935485,2244.11073068747,3160.0,9000000.0,176000000.0,56.335
Marshall Islands,59.8676957001103,19.28,7.556,257784881.591797,1.11230090181571,6130.4371365469,6520.0,90000000.0,81000000.0,78.162
"Micronesia, Fed. Sts.",57.67606517164,20.777,6.211,390000000.0,2.8,3447.33097029108,3970.0,115000000.0,254000000.0,23.068
Nauru,69.8479500407277,27.56,6.633,175390280.69162,7.75193798449692,14018.8858357941,18220.0,31000000.0,80000000.0,100.0
New Zealand,53.4187016992731,11.48,6.83,253644079784.977,4.54624763852878,49624.1816729553,45520.0,44777000000.0,49855000000.0,86.789
Niue,,,,,,,,,,
Palau,43.8352884845583,12.7,9.7,229858184.814453,-14.1640511125218,12752.8952959639,13460.0,2000000.0,156000000.0,81.483
Samoa,74.9132485807948,27.254,5.343,843923638.733018,-7.07883094291508,3857.68974206459,3830.0,29000000.0,368000000.0,17.742
Solomon Islands,74.8091018650229,29.785,5.028,1522794913.0914,2.56434975416948,2151.29301659728,2310.0,371000000.0,526000000.0,25.128
Tokelau,,,,,,,,,,
Tonga,68.9810165925501,23.045,6.97,469228219.665791,-2.66750617523127,4425.97149198516,4970.0,16000000.0,246000000.0,23.104
Tuvalu,60.9076547465173,23.484,10.159,60196405.7138393,1.8041359113616,5372.76023865042,6830.0,0.0,34000000.0,64.785
Vanuatu,76.487471450613,29.438,5.395,950394006.532514,-1.55229489129462,2978.01259813971,3350.0,54000000.0,339000000.0,25.665
Papua New Guinea,60.4796564799062,25.514,6.683,26113333240.2333,-0.780328729320829,2624.60410978363,2430.0,11269000000.0,5137000000.0,13.456
Angola,91.4739484069112,38.809,8.009,66505129987.7235,1.19921052145153,1927.47407827687,1640.0,34472000000.0,11379000000.0,67.46
Benin,84.0074855144422,36.608,9.434,17687623530.3355,7.1554516457574,1360.91147388169,1330.0,3642000000.0,4370000000.0,48.972
Botswana,57.4982917148627,23.576,9.461,18750946600.1423,11.9206365085117,7244.15854755666,6900.0,7420000000.0,8400000000.0,71.56
Burkina Faso,87.3998522893873,35.541,8.958,19643166853.6641,6.93915524675779,888.803610895832,830.0,5043000000.0,4614000000.0,31.24
Burundi,95.1967727682806,34.842,7.474,2775798697.46022,3.09999999870627,221.157803429854,220.0,163000000.0,1025000000.0,14.058
Cabo Verde,47.1761404457395,16.951,6.028,2051842609.64558,7.03353010325927,3489.97339736459,3400.0,55000000.0,821000000.0,67.102
Cameroon,82.2560985497714,34.938,8.582,44993521774.066,3.33885747179505,1654.25703730592,1590.0,4317000000.0,6981000000.0,58.148
Central African Republic,102.768340043785,42.68,11.393,2516498412.46384,0.982919996264229,461.137510956047,480.0,150000000.0,458000000.0,42.648
Chad,98.7271322974766,43.357,12.504,11779981332.16,-1.16918700397552,685.690314996618,660.0,2711000000.0,1638000000.0,23.781
Comoros,74.11625339332,29.398,8.718,1296089479.91978,2.11219557695527,1577.47084122292,1580.0,34000000.0,327000000.0,29.613
"Congo, Dem. Rep.",97.9704267713562,42.049,9.7,55328482783.5393,6.20015401075946,576.974729394136,560.0,21412000000.0,7214000000.0,46.235
"Congo, Rep.",78.8237017307805,30.691,7.063,14825690210.0308,1.01507337977299,2540.47002419731,2220.0,7390000000.0,2352000000.0,68.283
Cote d'Ivoire,79.2147350514913,33.934,9.001,72794636653.7793,7.06332910217667,2649.17304788159,2490.0,15334000000.0,13966000000.0,52.18
Djibouti,54.4786004722847,22.205,9.147,3385825228.86997,4.52234774643702,3062.55148207643,3050.0,4147000000.0,4870000000.0,78.217
Equatorial Guinea,72.1597025458452,30.498,9.042,12215878032.7166,0.860269956382069,7473.92606069296,5180.0,5700000000.0,1746000000.0,73.561
Eritrea,77.9020473188492,28.624,6.729,,,,,489000000.0,602000000.0,41.985
Eswatini,63.9951527889345,24.134,11.356,4850842540.99267,10.6836938787079,4068.57378984532,3770.0,2068000000.0,2123000000.0,24.369
Ethiopia,75.7451418239888,32.383,6.776,111261882958.426,5.64153071734657,925.00069759158,940.0,3949000000.0,15973000000.0,22.174
Gabon,67.5632751713975,27.142,7.258,20217946921.2065,1.46795731508091,8635.79714374956,6440.0,8031000000.0,3646000000.0,90.423
"Gambia, The",84.97532182526,33.257,7.543,2014158842.65394,5.25596879353259,762.963231653559,740.0,33000000.0,607000000.0,63.222
Ghana,68.7240969726096,27.548,7.627,79524421861.2743,5.07646643533542,2422.08591285021,2280.0,14727000000.0,13629000000.0,57.985
Guinea,82.4458318081097,34.425,9.99,16091817842.1318,3.90000000048747,1189.17599945874,990.0,10239000000.0,4187000000.0,37.264
Guinea-Bissau,76.5970866547948,31.087,8.716,1724555634.36594,6.39995262427662,836.870024795178,830.0,300000000.0,412000000.0,44.617
Kenya,70.1806883484294,27.685,8.056,109703658904.994,7.59048947333467,2069.66112881918,2080.0,6739000000.0,19559000000.0,28.493
Lesotho,62.0913797476538,26.107,14.186,2406780518.52811,1.85267852107842,1054.9327396161,1160.0,935000000.0,1824000000.0,29.48
Liberia,79.7056220194203,31.287,8.838,3513049520.0,4.98671283481617,676.44292696753,630.0,881000000.0,1338000000.0,52.573
Madagascar,74.5140573737842,30.949,7.104,14554754116.5427,5.73961573854336,503.352081190858,490.0,2726000000.0,4408000000.0,39.207
Malawi,84.6854327080751,32.859,6.983,12580922008.2096,2.75140260887528,632.533192648231,610.0,1009000000.0,3073000000.0,17.695
Mali,99.3262938929943,41.643,9.274,19309463508.0377,3.05261356942125,881.510088733585,820.0,4858000000.0,6296000000.0,44.677
Mauritania,82.7120164635773,33.194,7.44,9222536364.01272,0.742715499632851,1998.39400265586,1860.0,3267000000.0,3860000000.0,56.133
Mauritius,40.7096736199155,10.3,10.5,11484348766.0434,3.40379866177662,9068.97292976686,10280.0,1962000000.0,5133000000.0,40.775
Mozambique,86.123807071331,36.598,8.793,16168055475.085,2.37743573747173,504.037758654687,490.0,5704000000.0,8758000000.0,37.628
Namibia,67.3193935333947,27.439,10.709,12402486183.6396,3.60382919248703,4901.87588947838,4600.0,4417000000.0,6377000000.0,53.005
Niger,105.440027087501,45.293,8.141,14915002436.069,1.38359636198477,590.629494755814,590.0,1212000000.0,3557000000.0,16.751
Nigeria,86.1076368036576,37.117,13.083,440838992188.478,3.64718654072446,2065.77441035114,2160.0,46871000000.0,51880000000.0,52.746
Rwanda,72.5116726992432,29.976,6.28,11069280277.007,10.8579671876279,822.26804122921,840.0,1531000000.0,2895000000.0,17.568
Sao Tome and Principe,77.9290379692322,28.263,6.387,524402450.755612,1.89929891337832,2350.45270097134,2210.0,21000000.0,166000000.0,75.073
Senegal,81.5476850000204,32.573,5.922,27520784129.7508,6.54400109937833,1630.69507165793,1560.0,5202000000.0,9699000000.0,48.6
Seychelles,45.0207468879668,16.8,9.3,1487173794.80528,0.552281631207279,14982.9111487767,14950.0,464000000.0,1133000000.0,57.972
Sierra Leone,74.0044324363418,31.36,9.113,4249234704.01866,4.10470008884118,504.621287621531,510.0,697000000.0,1803000000.0,43.372
Somalia,99.3971785295867,43.561,11.596,9838711529.45848,3.31098923423325,576.523678242099,580.0,,,46.731
South Africa,53.0106990324263,19.821,11.432,420117812466.041,4.70306206485731,7073.61275415525,6540.0,123572000000.0,113989000000.0,67.847
South Sudan,90.6960656710317,29.107,11.05,,,,,812000000.0,1080000000.0,20.514
Tanzania,87.7054463959979,36.21,6.222,70655628147.8986,4.32138429480482,1146.03198242188,1120.0,6391000000.0,10024000000.0,35.954
Togo,76.5048330000535,31.856,8.168,8342243645.94438,5.99087610392314,964.998109961965,940.0,1060000000.0,2676000000.0,43.358
Uganda,88.213347803565,36.795,5.877,40529788744.0595,3.53658034070898,883.892026171965,860.0,3965000000.0,9086000000.0,25.553
Zambia,81.8224556620949,34.511,6.973,22096416932.0089,6.23492204726448,1134.71345415843,1050.0,10101000000.0,6435000000.0,45.192
Zimbabwe,79.393576926567,30.537,9.057,28371238665.5116,8.46801689759531,1773.92041088078,1540.0,6036000000.0,7577000000.0,32.303
Algeria,58.4637314615723,21.524,4.546,186265418570.697,3.8,4216.2512851303,4170.0,38637000000.0,37466000000.0,74.261
"Egypt, Arab Rep.",60.8376799931851,22.558,6.327,424671765455.704,3.29064601202211,3886.7224983901,3520.0,41310000000.0,74453000000.0,42.862
Libya,50.7808605057925,17.828,6.018,47786789103.8172,153.492640693078,7094.99982017328,11220.0,33417000000.0,17432000000.0,80.994
Morocco,52.154787028307,17.545,6.17,141817797083.468,8.02098437000988,3767.52490234375,3620.0,35843000000.0,58034000000.0,64.065
Sudan,80.2123193839029,33.596,6.799,34229513774.9936,-1.8685204827207,749.706787109375,650.0,5027000000.0,9894000000.0,35.593
Tunisia,50.8668268062608,16.093,7.884,46812290143.344,4.60518674330524,3817.37717375123,3570.0,16689000000.0,22486000000.0,69.888
